Year,Table,County,Birth Weight in Grams,Number of Live Births
2012,11a,Niagara,1500-1999,46
2012,11a,Niagara,1000-1499,19
2012,11a,Niagara,Under 1000,16
2012,11a,Niagara,Total,2133
2012,11a,Nassau,Not Stated,3
2012,11a,Nassau,3500+,4960
2012,11a,Nassau,3000-3499,5456
2012,11a,Nassau,2500-2999,2466
2012,11a,Nassau,2000-2499,695
2012,11a,Nassau,1500-1999,232
2012,11a,Nassau,1000-1499,97
2012,11a,Nassau,Under 1000,85
2012,11a,Nassau,Total,13994
2012,11a,Montgomery,Not Stated,3
2012,11a,Montgomery,3500+,220
2012,11a,Montgomery,3000-3499,216
2012,11a,Montgomery,2500-2999,84
2012,11a,Montgomery,2000-2499,23
2012,11a,Montgomery,1500-1999,8
2012,11a,Montgomery,1000-1499,2
2012,11a,Montgomery,Under 1000,5
2012,11a,Montgomery,Total,561
2012,11a,Monroe,Not Stated,3
2012,11a,Monroe,3500+,3089
2012,11a,Monroe,3000-3499,3090
2012,11a,Monroe,2500-2999,1368
2012,11a,Monroe,2000-2499,429
2012,11a,Monroe,1500-1999,146
2012,11a,Monroe,1000-1499,65
2012,11a,Monroe,Under 1000,80
2012,11a,Monroe,Total,8270
2012,11a,Madison,Not Stated,0
2012,11a,Madison,3500+,313
2012,11a,Madison,3000-3499,233
2012,11a,Madison,2500-2999,130
2012,11a,Madison,2000-2499,21
2012,11a,Madison,1500-1999,4
2012,11a,Madison,1000-1499,6
2012,11a,Madison,Under 1000,3
2012,11a,Madison,Total,710
2012,11a,Livingston,Not Stated,0
2012,11a,Livingston,3500+,197
2012,11a,Livingston,3000-3499,200
2012,11a,Livingston,2500-2999,72
2012,11a,Livingston,2000-2499,23
2012,11a,Livingston,1500-1999,7
2012,11a,Livingston,1000-1499,3
2012,11a,Livingston,Under 1000,1
2012,11a,Livingston,Total,503
2012,11a,Lewis,Not Stated,3
2012,11a,Lewis,3500+,126
2012,11a,Lewis,3000-3499,144
2012,11a,Lewis,2500-2999,42
2012,11a,Lewis,2000-2499,13
2012,11a,Lewis,1500-1999,8
2012,11a,Lewis,1000-1499,3
2012,11a,Lewis,Under 1000,3
2012,11a,Lewis,Total,342
2012,11a,Jefferson,Not Stated,12
2012,11a,Jefferson,3500+,971
2012,11a,Jefferson,3000-3499,816
2012,11a,Jefferson,2500-2999,320
2012,11a,Jefferson,2000-2499,88
2012,11a,Jefferson,1500-1999,32
2012,11a,Jefferson,1000-1499,14
2012,11a,Jefferson,Under 1000,24
2012,11a,Jefferson,Total,2277
2012,11a,Herkimer,Not Stated,1
2012,11a,Herkimer,3500+,272
2012,11a,Herkimer,3000-3499,251
2012,11a,Herkimer,2500-2999,90
2012,11a,Herkimer,2000-2499,28
2012,11a,Herkimer,1500-1999,10
2012,11a,Herkimer,1000-1499,3
2012,11a,Herkimer,Under 1000,3
2012,11a,Herkimer,Total,658
2012,11a,Hamilton,Not Stated,0
2012,11a,Hamilton,3500+,14
2012,11a,Hamilton,3000-3499,14
2012,11a,Hamilton,2500-2999,6
2012,11a,Hamilton,2000-2499,1
2012,11a,Hamilton,1500-1999,0
2012,11a,Hamilton,1000-1499,0
2012,11a,Hamilton,Under 1000,0
2012,11a,Hamilton,Total,35
2012,11a,Greene,Not Stated,0
2012,11a,Greene,3500+,152
2012,11a,Greene,3000-3499,163
2012,11a,Greene,2500-2999,62
2012,11a,Greene,2000-2499,18
2012,11a,Greene,1500-1999,13
2012,11a,Greene,1000-1499,1
2012,11a,Greene,Under 1000,3
2012,11a,Greene,Total,412
2012,11a,Genesee,Not Stated,1
2012,11a,Genesee,3500+,248
2012,11a,Genesee,3000-3499,227
2012,11a,Genesee,2500-2999,95
2012,11a,Genesee,2000-2499,21
2012,11a,Genesee,1500-1999,2
2012,11a,Genesee,1000-1499,5
2012,11a,Genesee,Under 1000,7
2012,11a,Genesee,Total,606
2012,11a,Fulton,Not Stated,0
2012,11a,Fulton,3500+,199
2012,11a,Fulton,3000-3499,216
2012,11a,Fulton,2500-2999,79
2012,11a,Fulton,2000-2499,19
2012,11a,Fulton,1500-1999,3
2012,11a,Fulton,1000-1499,1
2012,11a,Fulton,Under 1000,3
2012,11a,Fulton,Total,520
2012,11a,Franklin,Not Stated,3
2012,11a,Franklin,3500+,194
2012,11a,Franklin,3000-3499,203
2012,11a,Franklin,2500-2999,86
2012,11a,Franklin,2000-2499,30
2012,11a,Franklin,1500-1999,8
2012,11a,Franklin,1000-1499,2
2012,11a,Franklin,Under 1000,5
2012,11a,Franklin,Total,531
2012,11a,Essex,Not Stated,2
2012,11a,Essex,3500+,127
2012,11a,Essex,3000-3499,127
2012,11a,Essex,2500-2999,59
2012,11a,Essex,2000-2499,10
2012,11a,Essex,1500-1999,7
2012,11a,Essex,1000-1499,5
2012,11a,Essex,Under 1000,0
2012,11a,Essex,Total,337
2012,11a,Erie,Not Stated,6
2012,11a,Erie,3500+,3614
2012,11a,Erie,3000-3499,3708
2012,11a,Erie,2500-2999,1747
2012,11a,Erie,2000-2499,506
2012,11a,Erie,1500-1999,171
2012,11a,Erie,1000-1499,88
2012,11a,Erie,Under 1000,105
2012,11a,Erie,Total,9945
2012,11a,Dutchess,Not Stated,5
2012,11a,Dutchess,3500+,1094
2012,11a,Dutchess,3000-3499,1016
2012,11a,Dutchess,2500-2999,408
2012,11a,Dutchess,2000-2499,102
2012,11a,Dutchess,1500-1999,43
2012,11a,Dutchess,1000-1499,18
2012,11a,Dutchess,Under 1000,27
2012,11a,Dutchess,Total,2713
2012,11a,Delaware,Not Stated,1
2012,11a,Delaware,3500+,159
2012,11a,Delaware,3000-3499,168
2012,11a,Delaware,2500-2999,77
2012,11a,Delaware,2000-2499,23
2012,11a,Delaware,1500-1999,4
2012,11a,Delaware,1000-1499,2
2012,11a,Delaware,Under 1000,3
2012,11a,Delaware,Total,437
2012,11a,Cortland,Not Stated,3
2012,11a,Cortland,3500+,173
2012,11a,Cortland,3000-3499,177
2012,11a,Cortland,2500-2999,78
2012,11a,Cortland,2000-2499,20
2012,11a,Cortland,1500-1999,6
2012,11a,Cortland,1000-1499,3
2012,11a,Cortland,Under 1000,1
2012,11a,Cortland,Total,461
2012,11a,Columbia,Not Stated,3
2012,11a,Columbia,3500+,230
2012,11a,Columbia,3000-3499,172
2012,11a,Columbia,2500-2999,85
2012,11a,Columbia,2000-2499,29
2012,11a,Columbia,1500-1999,7
2012,11a,Columbia,1000-1499,1
2012,11a,Columbia,Under 1000,5
2012,11a,Columbia,Total,532
2012,11a,Clinton,Not Stated,1
2012,11a,Clinton,3500+,342
2012,11a,Clinton,3000-3499,274
2012,11a,Clinton,2500-2999,112
2012,11a,Clinton,2000-2499,36
2012,11a,Clinton,1500-1999,4
2012,11a,Clinton,1000-1499,6
2012,11a,Clinton,Under 1000,6
2012,11a,Clinton,Total,781
2012,11a,Chenango,Not Stated,0
2012,11a,Chenango,3500+,235
2012,11a,Chenango,3000-3499,207
2012,11a,Chenango,2500-2999,70
2012,11a,Chenango,2000-2499,15
2012,11a,Chenango,1500-1999,11
2012,11a,Chenango,1000-1499,1
2012,11a,Chenango,Under 1000,3
2012,11a,Chenango,Total,542
2012,11a,Chemung,Not Stated,0
2012,11a,Chemung,3500+,422
2012,11a,Chemung,3000-3499,383
2012,11a,Chemung,2500-2999,177
2012,11a,Chemung,2000-2499,37
2012,11a,Chemung,1500-1999,19
2012,11a,Chemung,1000-1499,3
2012,11a,Chemung,Under 1000,5
2012,11a,Chemung,Total,1046
2012,11a,Chautauqua,Not Stated,20
2012,11a,Chautauqua,3500+,492
2012,11a,Chautauqua,3000-3499,537
2012,11a,Chautauqua,2500-2999,246
2012,11a,Chautauqua,2000-2499,70
2012,11a,Chautauqua,1500-1999,19
2012,11a,Chautauqua,1000-1499,11
2012,11a,Chautauqua,Under 1000,3
2012,11a,Chautauqua,Total,1398
2012,11a,Cayuga,Not Stated,0
2012,11a,Cayuga,3500+,350
2012,11a,Cayuga,3000-3499,284
2012,11a,Cayuga,2500-2999,124
2012,11a,Cayuga,2000-2499,30
2012,11a,Cayuga,1500-1999,10
2012,11a,Cayuga,1000-1499,3
2012,11a,Cayuga,Under 1000,2
2012,11a,Cayuga,Total,803
2012,11a,Cattaraugus,Not Stated,82
2012,11a,Cattaraugus,3500+,290
2012,11a,Cattaraugus,3000-3499,309
2012,11a,Cattaraugus,2500-2999,153
2012,11a,Cattaraugus,2000-2499,37
2012,11a,Cattaraugus,1500-1999,12
2012,11a,Cattaraugus,1000-1499,11
2012,11a,Cattaraugus,Under 1000,10
2012,11a,Cattaraugus,Total,904
2012,11a,Broome,Not Stated,2
2012,11a,Broome,3500+,794
2012,11a,Broome,3000-3499,756
2012,11a,Broome,2500-2999,347
2012,11a,Broome,2000-2499,109
2012,11a,Broome,1500-1999,37
2012,11a,Broome,1000-1499,19
2012,11a,Broome,Under 1000,12
2012,11a,Broome,Total,2076
2012,11a,Allegany,Not Stated,4
2012,11a,Allegany,3500+,172
2012,11a,Allegany,3000-3499,186
2012,11a,Allegany,2500-2999,67
2012,11a,Allegany,2000-2499,29
2012,11a,Allegany,1500-1999,8
2012,11a,Allegany,1000-1499,1
2012,11a,Allegany,Under 1000,4
2012,11a,Allegany,Total,471
2012,11a,Albany,Not Stated,1
